answer_body,truth,answer_id
"['<em>Note, this answer is for Python 2.x as it was written in 2008, metaclasses are slightly different in 3.x, see the comments.</em>', ""Metaclasses are the secret sauce that make 'class' work."", ""The default metaclass for a new style object is called 'type'."", 'Metaclasses take 3 args.', ""'<strong>name</strong>', '<strong>bases</strong>' and '<strong>dict</strong>'"", 'Here is where the secret starts.', 'Look for where name, bases and the dict come from in this example class definition.', ""Lets define a metaclass that will demonstrate how '<strong>class:</strong>' calls it."", 'And now, an example that actually means something, this will automatically make the variables in the list ""attributes"" set on the class, and set to None.', ""Note that the magic behaviour that 'Initalised' gains by having the metaclass <code>init_attributes</code> is not passed onto a subclass of Initalised."", ""Here is an even more concrete example, showing how you can subclass 'type' to make a metaclass that performs an action when the class is created."", 'This is quite tricky:']","[1, 2, 3, 4]",100037
"['I think the ONLamp introduction to metaclass programming is well written and gives a really good introduction to the topic despite being several years old already.', 'http://www.onlamp.com/pub/a/python/2003/04/17/metaclasses.html (archived at https://web.archive.org/web/20080206005253/http://www.onlamp.com/pub/a/python/2003/04/17/metaclasses.html)', 'In short: A class is a blueprint for the creation of an instance, a metaclass is a blueprint for the creation of a class.', 'It can be easily seen that in Python classes need to be first-class objects too to enable this behavior.', ""I've never written one myself, but I think one of the nicest uses of metaclasses can be seen in the Django framework."", 'The model classes use a metaclass approach to enable a declarative style of writing new models or form classes.', 'While the metaclass is creating the class, all members get the possibility to customize the class itself.', '<li>Creating a new model', '<li>The metaclass enabling this', ""The thing that's left to say is: If you don't know what metaclasses are, the probability that you <strong>will not need them</strong> is 99%.""]",[2],100059
"['One use for metaclasses is adding new properties and methods to an instance automatically.', 'For example, if you look at Django models, their definition looks a bit confusing.', 'It looks as if you are only defining class properties:', 'However, at runtime the Person objects are filled with all sorts of useful methods.', 'See the source for some amazing metaclassery.']",[0],100091
"['A metaclass is the class of a class.', 'Like a class defines how an instance of the class behaves, a metaclass defines how a class behaves.', 'A class is an instance of a metaclass.', 'While in Python you can use arbitrary callables for metaclasses (like Jerub shows), the more useful approach is actually to make it an actual class itself.', '<code>type</code> is the usual metaclass in Python.', ""In case you're wondering, yes, <code>type</code> is itself a class, and it is its own type."", ""You won't be able to recreate something like <code>type</code> purely in Python, but Python cheats a little."", 'To create your own metaclass in Python you really just want to subclass <code>type</code>.', 'A metaclass is most commonly used as a class-factory.', ""Like you create an instance of the class by calling the class, Python creates a new class (when it executes the 'class' statement) by calling the metaclass."", ""Combined with the normal <code>__init__</code> and <code>__new__</code> methods, metaclasses therefore allow you to do 'extra things' when creating a class, like registering the new class with some registry, or even replace the class with something else entirely."", 'When the <code>class</code> statement is executed, Python first executes the body of the <code>class</code> statement as a normal block of code.', 'The resulting namespace (a dict) holds the attributes of the class-to-be.', 'The metaclass is determined by looking at the baseclasses of the class-to-be (metaclasses are inherited), at the <code>__metaclass__</code> attribute of the class-to-be (if any) or the <code>__metaclass__</code> global variable.', 'The metaclass is then called with the name, bases and attributes of the class to instantiate it.', 'However, metaclasses actually define the <em>type</em> of a class, not just a factory for it, so you can do much more with them.', 'You can, for instance, define normal methods on the metaclass.', 'These metaclass-methods are like classmethods, in that they can be called on the class without an instance, but they are also not like classmethods in that they cannot be called on an instance of the class.', '<code>type.__subclasses__()</code> is an example of a method on the <code>type</code> metaclass.', ""You can also define the normal 'magic' methods, like <code>__add__</code>, <code>__iter__</code> and <code>__getattr__</code>, to implement or change how the class behaves."", ""Here's an aggregated example of the bits and pieces:""]","[0, 1, 2, 7, 13]",100146
"['<strong>Main messages :)</strong>', 'De-cyphered:', 'The Zen of Python, by Tim Peters', 'Beautiful is better than ugly.', 'Explicit is better than implicit.', 'Simple is better than complex.', 'Complex is better than complicated.', 'Flat is better than nested.', 'Sparse is better than dense.', 'Readability counts.', ""Special cases aren't special enough to break the rules."", 'Although practicality beats purity.', 'Errors should never pass silently.', 'Unless explicitly silenced.', 'In the face of ambiguity, refuse the temptation to guess.', 'There should be one-- and preferably only one --obvious way to do it.', ""Although that way may not be obvious at first unless you're Dutch."", 'Now is better than never.', 'Although never is often better than <em>right</em> now.', ""If the implementation is hard to explain, it's a bad idea."", 'If the implementation is easy to explain, it may be a good idea.', ""Namespaces are one honking great idea -- let's do more of those!""]",[2],101276
"['<strong>List comprehensions</strong>', 'list comprehensions', 'Compare the more traditional (without list comprehension):', 'to:']",[0],101280
"['<strong>Metaclasses</strong>', 'of course :-) What is a metaclass in Python?']",[0],101286
"['<strong>Special methods</strong>', 'Absolute power!']",[0],101288
"['<strong>Creating generators objects</strong>', 'If you write', 'you can get out the generator and assign it to x.', 'Now it means you can do', ""The advantage of this is that you don't need intermediate storage, which you would need if you did"", 'In some cases this can lead to significant speed up.', 'You can append many if statements to the end of the generator, basically replicating nested for loops:']",[0],101310
"['<strong>Decorators</strong>', 'Decorators allow to wrap a function or method in another function that can add functionality, modify arguments or results, etc.', 'You write decorators one line above the function definition, beginning with an ""at"" sign (@).', ""Example shows a <code>print_args</code> decorator that prints the decorated function's arguments before calling it:""]",[0],101447
