question_id,post_id,post_body,comments,score,truth,question_type,question_body,tags,favorite_count,view_count
29973357,29973358,"['The code formatting is available in Visual Studio Code through the following shortcuts:', 'On Windows Shift + Alt + F', 'On Mac Shift + Option + F', 'On Linux Ctrl + Shift + I', ""Alternatively, you can find the shortcut, as well as other shortcuts, through the 'Command Palette' provided in the editor with Ctrl +Shift+ P (or Command + Shift + P on Mac), and then searching for format document."", 'For unsaved snippets', 'Open command palette (Win: F1 or Ctrl+Shift+P)', ""Find 'Change Language Model'"", 'Select language e.g.', '<code>json</code>.', 'By now syntax should be highlighted.', 'Format document (e.g.', ""Open Command Palette -&gt; 'Format Document')"", 'Unformat', 'Select text', 'Command Palette -&gt; Join Lines', ""'Show the pics'""]",24,4771,Empty,2,"['How do you format code in Visual Studio Code (VSCode)?', 'What is the equivalent of Ctrl + K + F and Ctrl + K + D on Windows in Visual Studio for formatting, or ""beautifying"" code in the Visual Studio Code editor?']",<code-formatting><visual-studio-code>,3163569,658
29973357,37429293,"['Code Formatting Shortcut:', 'Visual Studio Code on Windows - Shift + Alt + F', 'Visual Studio Code on MacOS   - Shift + Option + F', 'Visual Studio Code on Ubuntu  - Ctrl + Shift + I', 'You can also customize this shortcut using a preference setting if needed.', 'Code Formatting While Saving the File:', 'Visual Studio Code allows the user to customize the default settings.', 'If you want to auto format your content while saving, add the below code snippet in the work space settings of Visual Studio Code.', 'Menu File &rarr; Preferences &rarr; Workspace Settings', 'Note: now you can auto format TypeScript files.', 'Check my update.']",12,521,Empty,2,"['How do you format code in Visual Studio Code (VSCode)?', 'What is the equivalent of Ctrl + K + F and Ctrl + K + D on Windows in Visual Studio for formatting, or ""beautifying"" code in the Visual Studio Code editor?']",<code-formatting><visual-studio-code>,3163569,658
29973357,29988116,"['You can add a keybinding in menu File → Preferences → Keyboard shortcuts.', 'Or Visual Studio like:']",2,225,Empty,2,"['How do you format code in Visual Studio Code (VSCode)?', 'What is the equivalent of Ctrl + K + F and Ctrl + K + D on Windows in Visual Studio for formatting, or ""beautifying"" code in the Visual Studio Code editor?']",<code-formatting><visual-studio-code>,3163569,658
29973357,48764668,"['Right click somewhere in the content area (text) for the file', 'Select Format Document from the menu:', 'Windows: Alt+Shift+F', 'Linux: Alt+Shift+I', 'macOS: ⌥+⇧+F']",2,221,Empty,2,"['How do you format code in Visual Studio Code (VSCode)?', 'What is the equivalent of Ctrl + K + F and Ctrl + K + D on Windows in Visual Studio for formatting, or ""beautifying"" code in the Visual Studio Code editor?']",<code-formatting><visual-studio-code>,3163569,658
29973357,31315391,['The right key combination is Shift + Alt + F.'],3,118,Empty,2,"['How do you format code in Visual Studio Code (VSCode)?', 'What is the equivalent of Ctrl + K + F and Ctrl + K + D on Windows in Visual Studio for formatting, or ""beautifying"" code in the Visual Studio Code editor?']",<code-formatting><visual-studio-code>,3163569,658
29973357,40300129,"['Visual Studio Code 1.6.1 supports ""Format On Save"" which will automatically pick up relevant installed formatter extensions and format the whole document on each save.', 'Enable ""Format On Save"" by setting', 'And there are available keyboard shortcuts (Visual Studio Code 1.7 and above):', 'Format the whole document: Shift + Alt + F', 'Format Selection only: Ctrl + K, Ctrl + F']",1,71,Empty,2,"['How do you format code in Visual Studio Code (VSCode)?', 'What is the equivalent of Ctrl + K + F and Ctrl + K + D on Windows in Visual Studio for formatting, or ""beautifying"" code in the Visual Studio Code editor?']",<code-formatting><visual-studio-code>,3163569,658
29973357,32519085,"['On Linux it is Ctrl + Shift + I.', 'On Windows it is Alt + Shift + F. Tested with HTML/CSS/JavaScript and Visual Studio Code 1.18.0.', 'For other languages, you might need to install a specific language package.']",0,67,Empty,2,"['How do you format code in Visual Studio Code (VSCode)?', 'What is the equivalent of Ctrl + K + F and Ctrl + K + D on Windows in Visual Studio for formatting, or ""beautifying"" code in the Visual Studio Code editor?']",<code-formatting><visual-studio-code>,3163569,658
29973357,38781680,"['For Fedora', 'Click <code>File</code> -&gt; <code>Preferences</code> -&gt; <code>Keyboard shortcuts</code>.', 'Under <code>Default Keyboard Shortcuts</code>, search (Ctrl + F) for <code>editor.action.format</code>.', 'Mine read <code>&quot;key&quot;: &quot;ctrl+shift+i&quot;</code>', 'You can change it as well.', 'Refer to this answer on how to... or if you are feeling a little lazy to scroll up:', 'You can add a keybinding in &quot;Preferences-&gt;Keyboard shortcuts&quot;', '<code>{ &quot;key&quot;: &quot;cmd+k cmd+d&quot;, &quot;command&quot;: &quot;editor.action.format&quot; }</code>', 'Or Visual Studio like:', '<code>{ &quot;key&quot;: &quot;ctrl+k ctrl+d&quot;, &quot;command&quot;: &quot;editor.action.format&quot; }</code>', 'Please note: cmd key is only for Macs.', 'For Windows and Fedora (Windows keyboard) use Ctrl', 'EDIT:', 'As per Visual Code version <code>1.28.2</code> this is what I found.', '<code>editor.action.format</code> no longer exists.', 'It has now been replaced by <code>editor.action.formatDocument</code> and <code>editor.action.formatSelection</code>.', 'Type <code>editor.action.format</code> in the search box to view existing shortcuts.', 'To change the key combinations follow these steps:', 'Click <code>editor.action.formatDocument</code> or <code>editor.action.formatSelection</code>', 'A pen like icon appears to the left - click it.', 'A pop-up appears.', 'Press the desired key combination and press enter.']",3,64,Empty,2,"['How do you format code in Visual Studio Code (VSCode)?', 'What is the equivalent of Ctrl + K + F and Ctrl + K + D on Windows in Visual Studio for formatting, or ""beautifying"" code in the Visual Studio Code editor?']",<code-formatting><visual-studio-code>,3163569,658
29973357,34248738,"[""On Ubuntu it's Ctrl + Shift + I.""]",1,45,Empty,2,"['How do you format code in Visual Studio Code (VSCode)?', 'What is the equivalent of Ctrl + K + F and Ctrl + K + D on Windows in Visual Studio for formatting, or ""beautifying"" code in the Visual Studio Code editor?']",<code-formatting><visual-studio-code>,3163569,658
29973357,48556918,"['Menu File &rarr; Preferences &rarr; Settings', ""When you enter the semicolon, it's going to be formatted."", 'Alternatively, you can also use <code>""editor.formatOnSave"": true</code>.']",2,38,Empty,2,"['How do you format code in Visual Studio Code (VSCode)?', 'What is the equivalent of Ctrl + K + F and Ctrl + K + D on Windows in Visual Studio for formatting, or ""beautifying"" code in the Visual Studio Code editor?']",<code-formatting><visual-studio-code>,3163569,658
